module(equipment),if_anomaly_count,if_anomaly_rate,observation_count,mean_if_score,avg_powerfactor,avg_active_power,avg_reactive_power,statistical_outlier_count,if_anomaly_rate_pct,screening_rank,is_target_module
15(예비건조기),702,0.016249623851299737,43201,-0.45758182,92.24775,3010.3691,602.219,16294,1.6249623851299737,1,1
17(6호기),491,0.011365477650980301,43201,-0.45198235,92.349266,3009.9114,601.979,0,1.1365477650980302,2,0
16(호이스트),432,0.009999768523876762,43201,-0.44787568,92.49849,3009.777,601.79205,0,0.9999768523876762,3,0
18(우측분전반2),431,0.009976620911552974,43201,-0.44793013,92.50085,3010.0432,601.9459,0,0.9976620911552974,4,0
11(우측분전반1),421,0.009745144788315086,43201,-0.44735965,92.50417,3009.9045,601.87085,0,0.9745144788315085,5,0
13(3호기),408,0.009444225828105831,43201,-0.44785967,92.50195,3008.6697,601.6923,0,0.9444225828105831,6,0
2(L-1전등),404,0.009351635378810676,43201,-0.44740263,92.498726,3009.9365,601.9919,0,0.9351635378810677,7,0
3(분쇄기(2)),398,0.009212749704867943,43201,-0.44734442,92.498985,3009.5977,602.03516,0,0.9212749704867943,8,0
5(좌측분전반),394,0.009120159255572788,43201,-0.4475656,92.4991,3010.247,601.9019,0,0.9120159255572788,9,0
4(분쇄기(1)),392,0.00907386403092521,43201,-0.44728756,92.50015,3010.7063,602.11554,0,0.9073864030925209,10,0
14(2호기),386,0.008934978356982478,43201,-0.4474922,92.49879,3009.7197,601.95056,0,0.8934978356982478,11,0
12(4호기),383,0.008865535520011111,43201,-0.44744813,92.50099,3010.0486,601.9999,0,0.8865535520011112,12,0
1(PM-3),375,0.0086803546214208,43201,-0.44736463,92.50085,3010.4448,601.80884,0,0.8680354621420799,13,0
