event_id,module(equipment),start_datetime,end_datetime,point_count,duration_seconds,minimum_powerfactor,average_powerfactor,iqr_detected,ewma_detected,if_detected,max_model_agreement
EWMA-000001,15(예비건조기),2024-12-01 00:00:40,2024-12-01 00:00:40,1,5,64.97666,64.97666,1,1,1,3
EWMA-000002,15(예비건조기),2024-12-01 00:05:10,2024-12-01 00:05:10,1,5,66.049995,66.049995,1,1,1,3
EWMA-000003,15(예비건조기),2024-12-01 00:07:15,2024-12-01 00:07:15,1,5,67.27,67.27,1,1,1,3
EWMA-000004,15(예비건조기),2024-12-01 00:18:50,2024-12-01 00:18:50,1,5,65.26666,65.26666,1,1,1,3
EWMA-000005,15(예비건조기),2024-12-01 00:49:30,2024-12-01 00:49:30,1,5,68.26667,68.26667,1,1,1,3
EWMA-000006,15(예비건조기),2024-12-01 00:54:30,2024-12-01 00:54:30,1,5,66.71,66.71,1,1,1,3
EWMA-000007,15(예비건조기),2024-12-01 00:55:30,2024-12-01 00:55:30,1,5,66.48,66.48,1,1,1,3
EWMA-000008,15(예비건조기),2024-12-01 01:00:10,2024-12-01 01:00:10,1,5,64.39333,64.39333,1,1,1,3
EWMA-000009,15(예비건조기),2024-12-01 01:12:00,2024-12-01 01:12:00,1,5,65.45333,65.45333,1,1,1,3
EWMA-000010,15(예비건조기),2024-12-01 01:13:50,2024-12-01 01:13:50,1,5,67.590004,67.590004,1,1,1,3
EWMA-000011,15(예비건조기),2024-12-01 01:15:40,2024-12-01 01:15:40,1,5,64.183334,64.183334,1,1,1,3
EWMA-000012,15(예비건조기),2024-12-01 01:20:20,2024-12-01 01:20:20,1,5,67.503334,67.503334,1,1,1,3
EWMA-000013,15(예비건조기),2024-12-01 01:22:45,2024-12-01 01:22:45,1,5,64.60333,64.60333,1,1,1,3
EWMA-000014,15(예비건조기),2024-12-01 01:25:00,2024-12-01 01:25:00,1,5,62.399998,62.399998,1,1,1,3
EWMA-000015,15(예비건조기),2024-12-01 01:30:30,2024-12-01 01:30:30,1,5,71.11667,71.11667,0,1,0,1
EWMA-000016,15(예비건조기),2024-12-01 01:33:20,2024-12-01 01:33:20,1,5,64.579994,64.579994,1,1,0,2
EWMA-000017,15(예비건조기),2024-12-01 01:36:55,2024-12-01 01:36:55,1,5,64.276665,64.276665,1,1,1,3
EWMA-000018,15(예비건조기),2024-12-01 01:41:35,2024-12-01 01:41:35,1,5,65.60333,65.60333,1,1,1,3
EWMA-000019,15(예비건조기),2024-12-01 01:43:55,2024-12-01 01:43:55,1,5,63.070004,63.070004,1,1,1,3
EWMA-000020,15(예비건조기),2024-12-01 01:49:35,2024-12-01 01:49:35,1,5,70.35,70.35,0,1,0,1
EWMA-000021,15(예비건조기),2024-12-01 01:49:55,2024-12-01 01:49:55,1,5,70.636665,70.636665,1,1,1,3
